instance_path;solver_seed;rotation;mirror_plates;faithful;round2disc;pricing;hybridization;aggressive_hybridization;hybridizations;first_borns_killed_by_hybridization;aggressive_hybridization_extra_vars;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;length_pe_after_pricing;length_cm_after_pricing;length_pc_after_pricing;qt_unreachable_plate_types;qt_reachable_extractions;qt_reachable_cuts;qt_reachable_plate_types;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;purge_unreachable_time;num_vars;num_constrs;num_nonzeros;enumeration_time;build_time;build_stop_reason;stop_reason;build_and_solve_time;root_node_value;root_node_time;obj_value;obj_bound;solution_value;solution_print_time;total_instance_time;total_file_time;run_ended_by_exception;extra_gc_time;run_total_time;run_time_spent_on_gc;this_data_file
../instances/A5;10;0;0;0;1;none;1;1;33448;17482;16365;825;55177;2523;825;55177;2523;0;825;55177;2523;825;55177;2523;0.001926844;56022;170629;181750;0.015705334;0.1786811351776123;BUILT_MODEL;MathOptInterface.OPTIMAL;5.4801671504974365;13092.95;1.92;12985.0;12985.0;12985;0.024034976959228516;5.504206895828247;5.504258138;false;0.108727278;5.615539427;0.113393795;./experiments_outputs/2022-03-04T14:37:48/jl_1MvuoX
../instances/CHL7;10;0;0;0;1;none;1;0;33860;12535;0;8103;138757;5884;8103;138757;5884;0;8103;138757;5884;8103;138757;5884;0.005906598;146895;446639;449558;0.060064948;0.4796879291534424;BUILT_MODEL;MathOptInterface.OPTIMAL;33.67525911331177;16896.8333;23.35;16881.0;16881.0;16881;0.06344890594482422;33.73871302604675;33.738815105;false;0.109332744;33.850446337;0.154719792;./experiments_outputs/2022-03-04T14:37:48/jl_1NWu9V
../instances/gcut2;5;0;0;0;1;none;1;1;1710;1463;0;960;1710;240;960;1710;240;0;960;1710;240;960;1710;240;9.8487e-5;2690;8350;7337;0.001513229;0.009842157363891602;BUILT_MODEL;MathOptInterface.OPTIMAL;0.053755998611450195;59801.25;0.03;59307.0;59307.0;59307;0.0014650821685791016;0.055223941802978516;0.055275852;false;0.094900421;0.152439915;0.093873765;./experiments_outputs/2022-03-04T14:37:48/jl_1OGNVV
../instances/gcut11;3;0;0;0;1;none;1;0;2633;2244;0;1957;2909;334;1957;2909;334;0;1957;2909;334;1957;2909;334;0.000141808;4896;15082;13088;0.005290888;0.0195009708404541;BUILT_MODEL;MathOptInterface.OPTIMAL;0.10434389114379883;972031.833;0.06;955389.0;955389.0;955389;0.0024590492248535156;0.10680603981018066;0.106864846;false;0.097917077;0.207065131;0.09604487;./experiments_outputs/2022-03-04T14:37:48/jl_1S6YdY
../instances/A3;9;0;0;0;1;none;1;1;12303;6144;2387;2525;13195;1104;2525;13195;1104;0;2525;13195;1104;2525;13195;1104;0.000610658;15740;48364;50697;0.00445125;0.043190956115722656;BUILT_MODEL;MathOptInterface.OPTIMAL;0.8861229419708252;5503.0303;0.24;5451.0;5451.0;5451;0.007297039031982422;0.8934230804443359;0.893473489;false;0.099282502;0.995084775;0.096118233;./experiments_outputs/2022-03-04T14:37:48/jl_1Tig9T
../instances/okp1;7;0;0;0;1;none;1;1;16957;9989;211;92;91949;3167;92;91949;3167;0;92;91949;3167;92;91949;3167;0.00322701;92056;279365;280387;0.02333069;0.2838890552520752;BUILT_MODEL;MathOptInterface.OPTIMAL;4.938423156738281;28055.1667;2.85;27589.0;27589.0;27589;0.03951692581176758;4.97794508934021;4.977996509;false;0.116751396;5.097344658;0.131758033;./experiments_outputs/2022-03-04T14:37:48/jl_1vRkwY
../instances/cgcut2;8;0;0;0;1;none;1;1;4389;2039;1950;159;7002;600;159;7002;600;0;159;7002;600;159;7002;600;0.000340165;7171;22133;23449;0.002059196;0.021548986434936523;BUILT_MODEL;MathOptInterface.OPTIMAL;0.34276795387268066;2894.36842;0.1;2892.0;2892.0;2892;0.003782987594604492;0.3465549945831299;0.346599068;false;0.098678396;0.447556234;0.09639222;./experiments_outputs/2022-03-04T14:37:48/jl_28nxLU
../instances/2;10;0;0;0;1;none;0;0;0;0;0;159;6068;600;159;6068;600;0;159;6068;600;159;6068;600;0.000338242;6227;19291;17917;0.0016828;0.018461942672729492;BUILT_MODEL;MathOptInterface.OPTIMAL;0.3432919979095459;2894.36842;0.09;2892.0;2892.0;2892;0.0033349990844726562;0.3466310501098633;0.34667369;false;0.098071025;0.447187486;0.095895239;./experiments_outputs/2022-03-04T14:37:48/jl_28Y1wW
../instances/A5;9;0;0;0;1;none;0;0;0;0;0;825;44936;2523;825;44936;2523;0;825;44936;2523;825;44936;2523;0.008414023;45761;139826;133964;0.012972277;0.1489880084991455;BUILT_MODEL;MathOptInterface.OPTIMAL;4.047620058059692;13092.95;1.64;12985.0;12985.0;12985;0.01955103874206543;4.067174911499023;4.06722673;false;0.107247999;4.177015346;0.113394544;./experiments_outputs/2022-03-04T14:37:48/jl_290BMY
../instances/gcut7;4;0;0;0;1;none;1;1;1711;1426;302;1843;1711;248;1843;1711;248;0;1843;1711;248;1843;1711;248;0.000103015;3584;11060;9164;0.002488176;0.012787818908691406;BUILT_MODEL;MathOptInterface.OPTIMAL;0.05943584442138672;240465.5;0.04;238974.0;238974.0;238974;0.0017609596252441406;0.06120109558105469;0.061257532;false;0.095706549;0.159270263;0.094188111;./experiments_outputs/2022-03-04T14:37:48/jl_2bTKzU
