instance_name;pricing_method;qt_pevars_priced_restricted;qt_cmvars_priced_restricted;qt_plates_priced_restricted;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;heuristic_lb;restricted_obj_value;restricted_obj_bound;restricted_lp_stop_reason;restricted_stop_reason;solved_priced_restricted_model;enumeration_time;heuristic_lb_time;restricted_pricing_time;iterative_pricing_time;final_pricing_time;total_pricing_time;final_root_relaxation_time;final_solving_time;obj_value;solution_profit;obj_bound;total_instance_time;build_and_solve_time;run_total_time;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/P4_150_150_50_1;none;-1;-1;-1;2391;951874;17508;25684.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.051422777;1.80142668;NaN;NaN;NaN;NaN;173.93;346.431180228;31673.0;31673.0;31673.0;352.20914524;351.67477011680603;352.354494015;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_XgSyEK
../instances/P3_250_250_50_1;furini;-1;-1;-1;-1;-1;-1;57337.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.361915856;1.971289766;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.601407093;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_ZLkPvK
../instances/P4_250_250_50_1;furini;-1;-1;-1;-1;-1;-1;64657.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.237780151;2.198829014;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.683329175;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_b29AOH
../instances/P2_400_100_50_1;furini;3251;708529;25560;3241;1305890;17222;37994.0;54550.0;54550.0;MathOptInterface.OPTIMAL;MathOptInterface.OPTIMAL;true;0.111852075;3.187223706;9038.32085609436;1368.6697800159454;8.57189679145813;10415.565450012;55.59;380.520631081;54550.0;54550.0;54981.0;NaN;10800.154974937439;10801.201830642;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_b78pCI
../instances/P1_100_400_50_1;none;-1;-1;-1;3436;3337942;32883;43991.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.150750463;1.860437633;NaN;NaN;NaN;NaN;1250.88;10787.344620627;53831.0;53831.0;56897.0;NaN;10800.55028295517;10802.716999598;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_cOhajK
../instances/P1_100_200_50_1;none;-1;-1;-1;3436;815837;15283;23771.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.055103036;1.856096831;NaN;NaN;NaN;NaN;100.09;3543.701970909;28440.0;28440.0;28440.0;3548.808685318;3548.375683069229;3548.967340077;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_d2RGcK
../instances/P3_250_250_25_1;none;-1;-1;-1;3310;4516827;48704;50196.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.200782925;1.736769868;NaN;NaN;NaN;NaN;7126.16;10785.018684128;51027.0;51027.0;60548.0;NaN;10801.53388786316;10804.447511689;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_eaaSrH
../instances/P1_100_400_25_1;none;-1;-1;-1;2554;2086981;24854;43762.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.078109043;1.029014463;NaN;NaN;NaN;NaN;576.45;10792.049978465;53008.0;53008.0;54707.0;NaN;10800.39521598816;10801.82487753;true;true;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_h2uctJ
../instances/P1_100_400_50_1;furini;-1;-1;-1;-1;-1;-1;43991.0;NaN;NaN;MathOptInterface.TIME_LIMIT;NOT_REACHED;false;0.163872781;1.85272977;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10800.420602384;true;true;NOT_REACHED;./experiments_outputs/2020-07-28T05:02:27/jl_hPU4EG
../instances/P3_150_150_25_1;none;-1;-1;-1;1672;672226;14720;25091.0;NaN;NaN;NOT_REACHED;NOT_REACHED;false;0.034568518;0.991427751;NaN;NaN;NaN;NaN;91.02;3638.963719829;29989.0;29989.0;29989.0;3642.719342736;3642.360051870346;3642.869614385;false;false;BUILT_MODEL;./experiments_outputs/2020-07-28T05:02:27/jl_q1qYoI
