instance_name;pricing_method;disabled_redundant_cut;disabled_cut_position;pricing_time;total_instance_time;qt_piece_types;qt_cmvars_pre_pricing;qt_plates_pre_pricing;qt_cmvars_pre_purge;qt_plates_pre_purge;qt_cmvars_pos_purge;qt_plates_pos_purge;finished;datafile
../instances/2;none;false;false;NaN;0.243557474;10;48855;2017;48855;2017;48855;2017;true;./experiments_outputs/2020-05-29T21:37:37/jl_UIFyaO
../instances/CW1;none;false;true;NaN;2.435122849;25;392155;8407;392155;8407;392155;8407;true;./experiments_outputs/2020-05-29T21:37:37/jl_UIPebJ
../instances/gcut5;none;true;true;NaN;1.407201264;10;250317;25336;250317;25336;250317;25336;true;./experiments_outputs/2020-05-29T21:37:37/jl_UaikUs
../instances/A2;furini;false;false;3.55899329;3.83919338;20;47287;2276;22313;2276;19486;2086;true;./experiments_outputs/2020-05-30T23:26:05/jl_UdmJQH
../instances/A1;none;true;false;NaN;0.184765728;20;39662;2040;39662;2040;39662;2040;true;./experiments_outputs/2020-05-29T21:37:37/jl_UgSGZj
../instances/Hchl2;none;true;false;NaN;4.867060334;35;773150;12594;773150;12594;773150;12594;true;./experiments_outputs/2020-05-29T21:37:37/jl_UoTuPV
../instances/STS2;none;true;true;NaN;0.583445206;30;118006;3383;118006;3383;118006;3383;true;./experiments_outputs/2020-05-29T21:37:37/jl_V6EYy7
../instances/OF2;none;true;false;NaN;0.156759053;10;32336;2110;32336;2110;32336;2110;true;./experiments_outputs/2020-05-29T21:37:37/jl_VAd439
../instances/A5;furini;false;false;194.33172857800002;197.571530999;20;469398;10402;95924;10402;73022;7776;true;./experiments_outputs/2020-05-30T23:26:05/jl_VFSK82
../instances/Hchl8s;none;false;true;NaN;0.103937249;10;13986;896;13986;896;13986;896;true;./experiments_outputs/2020-05-29T21:37:37/jl_VVcDF6
../instances/okp1;furini;false;false;64.087246928;65.669220467;15;250956;7947;95773;7947;28040;2228;true;./experiments_outputs/2020-05-30T23:26:05/jl_VicliB
../instances/gcut6;none;false;false;NaN;7.097138802;20;998392;73814;998392;73814;998392;73814;true;./experiments_outputs/2020-05-29T21:37:37/jl_W6J8sJ
../instances/CU1;furini;false;false;30.762713092000002;32.186437794;25;261418;7700;14336;7700;510;378;true;./experiments_outputs/2020-05-30T23:26:05/jl_WAn5MT
../instances/Hchl8s;furini;false;false;343.83538006400005;343.936025544;10;13149;896;13149;896;13149;896;true;./experiments_outputs/2020-05-30T23:26:05/jl_WRWh6W
