instance_name;round2disc;faithful;threads;seed;build_and_solve_time;total_instance_time;enumeration_time;rnr_solved_by_simplex;rnr_solved_by_primal;rnr_solved_by_dual;final_root_relaxation_time;final_root_relaxation_value;final_solving_time;qt_pevars_after_preprocess;qt_cmvars_after_preprocess;qt_plates_after_preprocess;qt_pevars_after_purge;qt_cmvars_after_purge;qt_plates_after_purge;run_total_time;solution_profit;solution_value;run_ended_by_exception;had_timeout;build_stop_reason;datafile
../instances/CHL6;false;false;1;1;10800.023838043213;NaN;0.024781818;false;false;false;39.91;4.79387819;10799.571672877;9767;150361;8187;9767;150361;8187;10800.230295374;-1;6;true;true;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_Pad7ps
../instances/A1;false;false;12;1;0.1435539722442627;0.173911379;0.000798611;true;true;false;0.01;22.5;0.050559753;1561;2850;920;1561;2850;920;0.726904885;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_PeP8kt
../instances/Hchl3s;false;false;1;1;16.394673109054565;16.44686209;0.009149293;false;false;false;13.7;2.62317339;16.160179631;2080;79430;5712;2080;79430;5712;16.553829279;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_RISBgu
../instances/A1;false;false;1;1;0.09679818153381348;0.103267789;0.000811637;false;false;false;0.04;22.5;0.06705453;1561;2850;920;1561;2850;920;0.197603483;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_SVocCt
../instances/CU1;false;false;12;1;0.44155097007751465;0.465722575;0.003053744;false;false;false;0.19;11.034062;0.386910727;7549;6350;2079;7549;6350;2079;0.566642069;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_THuoDs
../instances/Hchl3s;false;false;12;1;7.7345499992370605;7.790295437;0.009769459;false;false;false;3.78;2.62317339;7.486780698;2080;79430;5712;2080;79430;5712;7.903388517;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_VLGJ0t
../instances/CW2;false;false;12;1;1.0719919204711914;1.113733847;0.014869588;false;false;false;0.69;11.3711256;0.95086672;19610;13775;4145;19610;13775;4145;1.215450481;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_W8BAZv
../instances/A4;false;false;12;1;2.7480499744415283;2.783803534;0.003706272;false;false;false;0.66;3.99687294;2.642663751;2216;30754;3000;2216;30754;3000;2.884934365;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_YlqSAv
../instances/OF1;false;false;12;1;79.42852807044983;79.432621005;0.000771343;false;false;false;0.08;2.87724138;79.414319468;580;3970;1081;580;3970;1081;79.530015395;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_Z7OhEw
../instances/Hchl8s;false;false;12;1;0.5298378467559814;0.536527861;0.000709637;false;false;false;0.2;0.99609327;0.482638913;96;9627;847;96;9627;847;0.63816448;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_ayjsZu
../instances/Hchl2;false;false;12;1;7735.142626047134;7735.228332652;0.028232503;false;false;false;16.68;5.15471664;7734.668787727;12895;138374;7681;12895;138374;7681;7735.346899495;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_d4kqRt
../instances/CW1;false;false;12;1;17.176875114440918;17.194444486;0.007907687;false;false;false;0.69;8.66103134;17.081106023;10603;16130;3350;10603;16130;3350;17.295446802;-1;9;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_e2v73r
../instances/STS4;false;false;1;1;8.615819931030273;8.644237997;0.005765843;false;false;false;7.3;4.48257998;8.458171;4452;45641;4020;4452;45641;4020;8.745073976;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_gC5Z8s
../instances/Hchl2;false;false;1;1;2242.847797870636;2242.926900791;0.02662536;false;false;false;65.45;5.15471667;2242.395317644;12895;138374;7681;12895;138374;7681;2243.030361574;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_i23gCt
../instances/CHL2;false;false;12;1;0.08804178237915039;0.09216709;0.000762525;true;true;false;0.03;2.175729;0.052871401;1192;4335;1060;1192;4335;1060;0.189702274;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_iDVeDv
../instances/A5;false;false;12;1;117.55754590034485;117.599182519;0.009519119;false;false;false;2.29;3.72311764;117.384469515;4570;52664;5456;4570;52664;5456;117.727722594;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_inV9lv
../instances/W;false;false;12;1;0.07048606872558594;0.077687835;0.000537936;true;true;false;0.01;22.5;0.041940781;871;1910;672;871;1910;672;0.173728566;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_jpzPss
../instances/A5;false;false;1;1;1973.4482851028442;1973.488434306;0.009211228;false;false;false;7.76;3.72311764;1973.272774168;4570;52664;5456;4570;52664;5456;1973.591756105;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_kK9Vms
../instances/2;false;false;1;1;7.703970909118652;7.709466273;0.000740321;false;false;false;0.2;1.5650457;7.682219758;631;7404;1019;631;7404;1019;7.8056305;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_lWbUzt
../instances/3;false;false;1;1;0.06827402114868164;0.075218219;0.000591872;false;false;false;0.02;22.5;0.0415757;871;1910;672;871;1910;672;0.170675157;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_lr0Wyt
../instances/CU2;false;false;1;1;1.7726950645446777;1.795692322;0.015460546;false;false;false;1.12;13.50742;1.664491443;24104;14225;4463;24104;14225;4463;1.893313721;-1;14;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_mCvdXt
../instances/A2;false;false;1;1;0.12152910232543945;0.126874389;0.000810726;false;false;false;0.08;11.1428571;0.106367495;2182;3367;891;2182;3367;891;0.221179895;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_n0YHpv
../instances/3;false;false;12;1;0.07407498359680176;0.081063459;0.000626302;true;true;false;0.01;22.5;0.047841415;871;1910;672;871;1910;672;0.177150477;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_nkdH1v
../instances/STS2;false;false;12;1;1.089383840560913;1.108220283;0.002837788;false;false;false;0.68;11.0953581;1.014391711;4129;24216;2181;4129;24216;2181;1.20730232;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_p3Dzsw
../instances/HH;false;false;1;1;0.6052799224853516;0.611633818;0.001126054;false;false;false;0.53;1.1277666;0.577684258;695;8669;2041;695;8669;2041;0.707973515;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_qZmuRs
../instances/OF1;false;false;1;1;663.9963729381561;664.000047858;0.000748131;false;false;false;0.1;2.87724138;663.982171356;580;3970;1081;580;3970;1081;664.096396107;-1;4;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_rV9iUv
../instances/CHL7;false;false;12;1;137.2422640323639;137.330424403;0.031415757;false;false;false;16.1;5.07077371;136.761839095;12895;140776;7681;12895;140776;7681;137.438042065;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_tOmtju
../instances/A3;false;false;12;1;17.754158973693848;17.764833909;0.001771198;false;false;false;0.35;6.90515735;17.713908993;4128;11995;1862;4128;11995;1862;17.864786297;-1;7;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_vRWXhu
../instances/A4;false;false;1;1;3.126039981842041;3.144416416;0.003565679;false;false;false;1.76;3.99687295;3.022982883;2216;30754;3000;2216;30754;3000;3.241193214;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_vdLEHu
../instances/CHL1;false;false;12;1;130.79495787620544;130.861737784;0.015089572;false;false;false;5.55;4.98376627;130.461550993;7222;102569;6556;7222;102569;6556;130.966391328;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_vvLdRt
../instances/CHL5;false;false;12;1;0.04397320747375488;0.046177911;0.000241521;true;false;true;0.02;2.654;0.038064548;67;1548;325;67;1548;325;0.141689171;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_wBH4nv
../instances/Hchl9;false;false;1;1;5.806898832321167;5.828505637;0.003001642;false;false;false;2.57;9.26657926;5.694335949;4441;32866;2499;4441;32866;2499;5.926589656;-1;10;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_wpxRds
../instances/Hchl7s;false;false;12;1;10800.082805871964;NaN;0.128248463;false;true;false;404.02;6.32275559;10797.946007615;61461;583473;25239;61461;583473;25239;10800.580599268;-1;8;true;true;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_yjDf0r
../instances/CHL2;false;false;1;1;0.14628005027770996;0.15015127;0.000736813;false;false;false;0.09;2.17572944;0.11079818;1192;4335;1060;1192;4335;1060;0.244847969;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-18T20:28:18/jl_zaVbbt
../instances/CW3;true;true;1;1;1470.0532751083374;1471.118914524;0.186127875;false;false;false;1225.5;14.7407892;1463.953105196;40;2068324;21061;40;2068324;21061;1471.285210333;-1;15;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_0hlGyj
../instances/STS2;true;true;1;1;8.56936001777649;8.635040812;0.00741728;false;false;false;6.69;11.0991243;8.267442608;30;104695;3204;30;104695;3204;8.73633558;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_3ETDji
../instances/OF1;true;true;1;1;10800.010492801666;NaN;0.001972921;false;false;false;0.7;2.88069227;10799.917820243;10;30434;1400;10;30434;1400;10800.91412085;-1;4;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_4ViL6j
../instances/Hchl3s;true;true;12;1;94.23100113868713;94.479566589;0.029354194;false;false;false;46.62;2.62317339;92.744396186;10;467408;7836;10;467408;7836;94.595379554;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_8WQKGk
../instances/Hchl6s;true;true;12;1;10800.734611988068;NaN;0.437723359;false;false;false;1664.83;4.21906949;10789.124734725;22;3794525;30141;22;3794525;30141;10803.181751833;-1;15;true;true;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_8u8Idk
../instances/Hchl8s;true;true;12;1;0.7219099998474121;0.730420171;0.001086457;false;false;false;0.23;0.996241291;0.669591282;10;13015;847;10;13015;847;0.833063254;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_9Wto5f
../instances/CW2;true;true;12;1;47.03652286529541;47.383158424;0.059597144;false;false;false;26.33;11.3711256;45.165389144;35;626324;9660;35;626324;9660;47.502329387;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_AHu8Ii
../instances/STS4;true;true;12;1;34.197998046875;34.369125642;0.018255975;false;false;false;9.72;4.48349763;33.142409002;20;306966;5909;20;306966;5909;34.476244447;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_BhIvfh
../instances/CU2;true;true;12;1;73.43496322631836;73.786555453;0.070962163;false;false;false;61.77;13.50742;71.508537276;35;647639;10675;35;647639;10675;73.909914495;-1;14;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_CXXtvj
../instances/A4;true;true;12;1;8.378811836242676;8.465519568;0.010067653;false;false;false;4.48;3.99939099;7.931446936;20;160361;4084;20;160361;4084;8.570813164;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_D2Vd3g
../instances/CHL1;true;true;12;1;202.52135610580444;202.79312079;0.03821798;false;false;false;49.31;4.98414426;200.961834675;30;507115;8725;30;507115;8725;202.913124345;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_DFvGLg
../instances/CU1;true;true;12;1;9.322281837463379;9.534830098;0.016518078;false;false;false;4.57;11.034062;8.556681742;25;228664;5039;25;228664;5039;9.639632161;-1;12;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_DIFcai
../instances/Hchl4s;true;true;12;1;97.92609286308289;98.190527287;0.026229306;false;false;false;45.0;1.70347783;96.441178791;10;467165;7836;10;467165;7836;98.30638968;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_EDEN9i
../instances/Hchl2;true;true;1;1;1047.913899898529;1048.306628352;0.056069745;false;false;false;336.92;5.15471666;1045.625952631;35;736957;11048;35;736957;11048;1048.424560727;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_EnfQMg
../instances/CW1;true;true;1;1;63.71618413925171;63.875103935;0.023074549;false;false;false;38.92;8.66103134;62.673496459;25;315389;6332;25;315389;6332;63.98203951;-1;9;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_FhgTHk
../instances/CHL7;true;true;12;1;1032.1723759174347;1032.574485048;0.057777473;false;false;false;118.12;5.07082905;1029.936135018;35;742830;11075;35;742830;11075;1032.726505806;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_HJhwLj
../instances/A1;true;true;1;1;1.3250219821929932;1.349145103;0.002566276;false;false;false;0.77;22.5;1.228330585;20;36439;1535;20;36439;1535;1.450338841;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_Jxw9Eh
../instances/3;true;true;1;1;1.0044429302215576;1.023615021;0.002247613;false;false;false;0.58;22.5;0.914101812;20;30098;1335;20;30098;1335;1.123297702;-1;23;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_L1TQzi
../instances/CU2;true;true;1;1;167.86842894554138;168.19905571;0.069111475;false;false;false;138.53;13.50742;165.936527389;35;647639;10675;35;647639;10675;168.320157827;-1;14;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_M5nGdi
../instances/Hchl4s;true;true;1;1;158.90735602378845;159.149897655;0.025604023;false;false;false;127.69;1.70347784;157.453489568;10;467165;7836;10;467165;7836;159.262233838;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_MrT6Qg
../instances/Hchl6s;true;true;1;1;8263.830136060715;8265.815556516;0.422604062;false;false;false;7732.73;4.21906949;8252.410398196;22;3794525;30141;22;3794525;30141;8266.11383145;-1;5;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_NbmH1h
../instances/CHL1;true;true;1;1;321.4027690887451;321.660349144;0.035985804;false;false;false;148.51;4.98414424;319.863038625;30;507115;8725;30;507115;8725;321.774064908;-1;6;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_NwymBh
../instances/CHL2;true;true;12;1;1.2315380573272705;1.255572624;0.002630295;false;false;false;0.76;2.17572944;1.115320064;10;43859;1760;10;43859;1760;1.366108186;-1;3;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_PYA5Ih
../instances/HH;true;true;1;1;2.5140860080718994;2.545999951;0.003110665;false;false;false;2.18;1.12807882;2.358434652;5;61379;1882;5;61379;1882;2.650854648;-1;2;false;false;BUILT_MODEL;./experiments_outputs/2020-11-16T19:01:25/jl_PqG04i
